City,Country,GitHub,Email,Meetup
Munich,Germany,https://github.com/rladies/meetup-presentations_munich,munich@rladies.org,https://www.meetup.com/rladies-munich/
Budapest,Hungary,https://github.com/rladies/meetup-presentations_budapest,budapest@rladies.org,https://www.meetup.com/rladies-budapest/
Pune,India,https://github.com/rladies/meetup-presentations_pune,pune@rladies.org,https://www.meetup.com/rladies-pune/
Chennai,India,https://github.com/rladies/meetup-presentations_chennai,chennai@rladies.org,https://www.meetup.com/rladies-chennai/
Jakarta,Indonesia,https://github.com/rladies/meetup-presentations_jakarta,jakarta@rladies.org,https://www.meetup.com/rladies-jakarta/
Dublin,Ireland,https://github.com/rladies/meetup-presentations_dublin,dublin@rladies.org,https://www.meetup.com/rladies-dublin/
Bari,Italy,https://github.com/rladies/meetup-presentations_bari,bari@rladies.org,https://www.meetup.com/rladies-bari/
Milan,Italy,https://github.com/rladies/meetup-presentations_milan,milan@rladies.org,https://www.meetup.com/rladies-milan/
Mexico City,Mexico,https://github.com/rladies/meetup-presentations_CDMX,cdmx@rladies.org,https://www.meetup.com/rladies-cdmx/
Puebla,Mexico,https://github.com/rladies/meetup-presentations_puebla,puebla@rladies.org,https://www.meetup.com/rladies-puebla/
Queretaro,Mexico,https://github.com/RladiesQro,qro@rladies.org,https://www.meetup.com/rladies-queretaro/
Herceg Novi,Montenegro,https://github.com/rladies/meetup-presentations_montenegro,montenegro@rladies.org,https://www.meetup.com/rladies-montenegro/
Rotterdam,Netherlands,https://github.com/rladies/meetup-presentations_rotterdam,rotterdam@rladies.org,https://www.meetup.com/rladies-rotterdam/
Utrecht,Netherlands,https://github.com/rladies/meetup-presentations_utrecht,NA,https://www.meetup.com/rladies-utrecht/
Auckland,New Zealand,https://github.com/rladies/meetup-presentations_auckland,auckland@rladies.org,https://www.meetup.com/rladies-auckland/
Abuja,Nigeria,https://github.com/rladies/meetup-presentations_abuja,NA,https://www.meetup.com/rladies-abuja/
Bergen,Norway,https://github.com/rladies/meetup-presentations_bergen,bergen@rladies.org,https://www.meetup.com/rladies-bergen
Oslo,Norway,https://github.com/rladies/meetup-presentations_oslo,oslo@rladies.org,https://www.meetup.com/rladies-oslo/
Lima,Peru,https://github.com/rladies/meetup-presentations_lima,lima@rladies.org,https://www.meetup.com/rladies-lima/
Warsaw,Poland,https://github.com/rladies/meetup-presentations_warsaw,warsaw@rladies.org,http://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/
Lisbon,Portugal,https://github.com/rladies/meetup-presentations_lisbon,lisbon@rladies.org,https://www.meetup.com/rladies-lisboa/
Bucharest,Romania,https://github.com/rladies/meetup-presentations_bucharest,bucuresti@rladies.org,https://www.meetup.com/rladies-bucharest/
Novi Sad,Serbia,https://github.com/rladies/meetup-presentations_novi-sad,novisad@rladies.org,https://www.meetup.com/rladies-novi-sad/
Cape Town,South Africa,https://github.com/rladies/meetup-presentations_capetown,capetown@rladies.org,https://www.meetup.com/rladies-cape-town/
Johannesburg,South Africa,https://github.com/rladies/meetup-presentations_jozi,jozi@rladies.org,https://www.meetup.com/rladies-johannesburg/
Barcelona,Spain,https://github.com/rladies/meetup-presentations_barcelona,bcn@rladies.org,http://www.meetup.com/rladies-barcelona/
Madrid,Spain,https://github.com/rladies/meetup-presentations_madrid,madrid@rladies.org,https://www.meetup.com/rladies-madrid/
Colombo,Sri Lanka,https://github.com/rladiescolombo,colombo@rladies.org,https://www.meetup.com/rladies-colombo/
Stockholm,Sweden,https://github.com/rladies/meetup-presentations_stockholm,stockholm@rladies.org,https://www.meetup.com/rladies-stockholm/
Lausanne,Switzerland,https://github.com/rladies/meetup-presentations_lausanne,rladieslausanne@gmail.com,https://www.meetup.com/rladies-lausanne/
Taipei,Taiwan,https://github.com/rladies/meetup-presentations_taipei,taipei@rladies.org,https://www.meetup.com/rladies-taipei/
Eskisehir,Turkey,https://github.com/rladies/meetup-presentations_eskisehir,eskisehir@rladies.org,https://www.meetup.com/rladies-eskisehir
Istanbul,Turkey,https://github.com/rladies/meetup-presentations_istanbul,istanbul@rladies.org,https://www.meetup.com/rladies-istanbul/
Lancaster,United Kingdom,https://github.com/rladies/meetup-presentations_lancaster,lancaster@rladies.org,https://www.meetup.com/rladies-lancaster/
London,United Kingdom,https://github.com/rladies/meetup-presentations_london,london@rladies.org,https://www.meetup.com/rladies-london/
Loughborough,United Kingdom,https://github.com/rladies/meetup-presentations_loughborough,loughborough@rladies.org,https://www.meetup.com/rladies-loughborough/
Manchester,United Kingdom,https://github.com/RLadiesManchester,manchester@rladies.org,https://www.meetup.com/rladies-manchester/
Montevideo,Uruguay,https://github.com/rladies/meetup-presentations_montevideo,montevideo@rladies.org,https://www.meetup.com/rladies-montevideo/
Davis,USA,https://github.com/rladies/meetup-presentations_newcastle,NA,NA
Irvine,USA,https://github.com/rladies/meetup-presentations_irvine,irvine@rladies.org,https://www.meetup.com/rladies-irvine/
Los Angeles,USA,https://github.com/rladies/meetup-presentations_la,la@rladies.org,https://www.meetup.com/rladies-la/
Riverside,USA,https://github.com/rladies/meetup-presentations_riverside,riverside@rladies.org,https://www.meetup.com/rladies-riverside/
San Diego,USA,https://github.com/rladies/meetup-presentations_sandiego,sandiego@rladies.org,https://www.meetup.com/rladies-san-diego/
San Francisco,USA,https://github.com/rladies/meetup-presentations_sanfrancisco,sf@rladies.org,https://www.meetup.com/rladies-san-francisco/
Santa Barbara,USA,https://github.com/rladies/meetup-presentations_santabarbara,santabarbara@rladies.org,https://www.meetup.com/rladies-santa-barbara/
Boulder,USA,https://github.com/rladies/meetup-presentations_boulder,boulder@rladies.org,https://www.meetup.com/rladies-boulder/
Miami,USA,https://github.com/rladies/meetup-presentations_miami,miami@rladies.org,https://www.meetup.com/rladies-miami/
Orlando,USA,https://github.com/rladies/meetup-presentations_orlando,orlando@rladies.org,https://www.meetup.com/rladies-orlando/
Sarasota,USA,https://github.com/rladies/meetup-presentations_sarasota,sarasota@rladies.org,https://www.meetup.com/rladies-sarasota/
Tampa,USA,https://github.com/rladies/meetup-presentations_tampa,tampa@rladies.org,https://www.meetup.com/rladies-tampa/
Athens,USA,https://github.com/rladies/meetup-presentations_athens-ga,NA,https://www.meetup.com/rladies-athens-ga/
Chicago,USA,https://github.com/rladies/meetup-presentations_chicago,chicago@rladies.org,https://www.meetup.com/rladies-chicago/
Ames,USA,https://github.com/rladies-ames,ames@rladies.org,https://www.meetup.com/rladies-ames/
Louisville,USA,https://github.com/rladies/meetup-presentation_louisville,louisville@rladies.org,https://www.meetup.com/rladies-louisville/
Portland,USA,https://github.com/rladies/meetup-presentations_portland,portland@rladies.org,https://www.meetup.com/rladies-portland-maine/
Baltimore,USA,https://github.com/rladies/meetup-presentations_baltimore,bmore@rladies.org,https://www.meetup.com/rladies-baltimore/
Boston,USA,https://github.com/rladies/meetup-presentations_boston,boston@rladies.org,https://www.meetup.com/rladies-boston/
East Lansing,USA,https://github.com/rladies-eastlansing,eastlansing@rladies.org,https://www.meetup.com/rladies-east-lansing/
Kansas City,USA,https://github.com/rladies/meetup-presentations_kansas-city,kansascity@rladies.org,https://www.meetup.com/rladies-kansas-city/
St.Louis,USA,https://github.com/rladies/meetup-presentations_stlouis,NA,https://www.meetup.com/rladies-st-louis/
New York City,USA,https://github.com/rladies/meetup-presentations_newyork,nyc@rladies.org,https://www.meetup.com/rladies-newyork/
RTP (Research Triangle Park),USA,https://github.com/rladies/meetup-presentations_rtp,rtp@rladies.org,https://www.meetup.com/rladies-rtp/
Columbus,USA,https://github.com/rladies/meetup-presentations_columbus,columbus@rladies.org,https://www.meetup.com/rladies-columbus/
Portland,USA,https://github.com/rladies/meetup-presentations_portland,pdx@rladies.org,https://www.meetup.com/rladies-pdx/
Philadelphia,USA,https://github.com/rladies/meetup-presentations_philadelphia,philly@rladies.org,https://www.meetup.com/rladies-philly/
Nashville,USA,https://github.com/rladies-nashville,nashville@rladies.org,https://www.meetup.com/rladies-nashville/
Austin,USA,https://github.com/rladies/meetup-presentations_austin,austin@rladies.org,https://www.meetup.com/rladies-austin/
El Paso,USA,https://github.com/rladies/meetup-presentations_el-paso,elpaso@rladies.org,https://www.meetup.com/rladies-el-paso/
Charlottesville,USA,https://github.com/rladies/meetup-presentations_charlottesville,charlottesville@rladies.org,https://www.meetup.com/rladies-charlottesville/
D.C.,USA,https://github.com/rladies/meetup-presentations_dc,dc@rladies.org,https://www.meetup.com/rladies-dc/
Seattle,USA,https://github.com/rladies-seattle,seattle@rladies.org,https://www.meetup.com/rladies-seattle/
